Size of Adjusted Gross Income,Zip, Taxable Income ,Number of Returns
"$200,000 or more",10280," 376,863 ", 872 
,,,
,10281," 184,269 "," 1,135 "
"Under $10,000",10281, 314 , 169 
"$10,000 under $25,000",10281, 799 , 71 
"$25,000 under $50,000",10281," 1,071 ", 38 
"$50,000 under $75,000",10281," 2,446 ", 47 
"$75,000 under $100,000",10281," 2,729 ", 36 
"$100,000 under $200,000",10281," 36,086 ", 259 
"$200,000 or more",10281," 140,824 ", 515 
,,,
,10282," 579,507 "," 2,229 "
"Under $10,000",10282, 46 , 181 
"$10,000 under $25,000",10282, 649 , 115 
"$25,000 under $50,000",10282," 5,536 ", 229 
"$50,000 under $75,000",10282," 9,271 ", 199 
"$75,000 under $100,000",10282," 11,319 ", 171 
"$100,000 under $200,000",10282," 52,384 ", 444 
"$200,000 or more",10282," 500,302 ", 890 
,,,
,10301," 694,304 "," 16,438 "
"Under $10,000",10301, 508 ," 2,928 "
"$10,000 under $25,000",10301," 14,895 "," 3,174 "
"$25,000 under $50,000",10301," 80,047 "," 3,827 "
"$50,000 under $75,000",10301," 104,547 "," 2,560 "
"$75,000 under $100,000",10301," 86,288 "," 1,458 "
"$100,000 under $200,000",10301," 180,309 "," 1,895 "
"$200,000 or more",10301," 227,710 ", 596 
,,,
,10302," 200,771 "," 7,203 "
"Under $10,000",10302, 215 ," 1,323 "
"$10,000 under $25,000",10302," 6,814 "," 1,609 "
"$25,000 under $50,000",10302," 33,033 "," 1,752 "
"$50,000 under $75,000",10302," 39,384 "," 1,021 "
"$75,000 under $100,000",10302," 36,305 ", 665 
"$100,000 under $200,000",10302," 66,716 ", 758 
"$200,000 or more",10302," 18,303 ", 75 
,,,
,10303," 243,712 "," 10,793 "
"Under $10,000",10303, 302 ," 1,955 "
"$10,000 under $25,000",10303," 10,101 "," 2,593 "
"$25,000 under $50,000",10303," 51,789 "," 2,834 "
"$50,000 under $75,000",10303," 54,064 "," 1,547 "
"$75,000 under $100,000",10303," 51,254 ", 993 
"$100,000 under $200,000",10303," 68,769 ", 834 
"$200,000 or more",10303," 7,434 ", 37 
,,,
,10304," 713,156 "," 18,163 "
"Under $10,000",10304, 738 ," 3,623 "
"$10,000 under $25,000",10304," 16,850 "," 4,160 "
"$25,000 under $50,000",10304," 80,011 "," 4,310 "
"$50,000 under $75,000",10304," 84,998 "," 2,281 "
"$75,000 under $100,000",10304," 76,473 "," 1,401 "
"$100,000 under $200,000",10304," 158,984 "," 1,759 "
"$200,000 or more",10304," 295,104 ", 629 
,,,
,10305," 642,618 "," 18,275 "
"Under $10,000",10305, 656 ," 3,009 "
"$10,000 under $25,000",10305," 14,821 "," 3,381 "
"$25,000 under $50,000",10305," 83,535 "," 4,262 "
"$50,000 under $75,000",10305," 109,863 "," 2,890 "
"$75,000 under $100,000",10305," 113,056 "," 2,004 "
"$100,000 under $200,000",10305," 214,189 "," 2,342 "
"$200,000 or more",10305," 106,498 ", 387 
,,,
,10306," 1,087,185 "," 26,184 "
"Under $10,000",10306," 1,334 "," 4,218 "
"$10,000 under $25,000",10306," 20,396 "," 4,230 "
"$25,000 under $50,000",10306," 108,260 "," 5,415 "
"$50,000 under $75,000",10306," 160,855 "," 4,130 "
"$75,000 under $100,000",10306," 169,924 "," 3,020 "
"$100,000 under $200,000",10306," 403,241 "," 4,372 "
"$200,000 or more",10306," 223,176 ", 799 
,,,
,10307," 313,576 "," 5,963 "
"Under $10,000",10307, 311 ," 1,028 "
"$10,000 under $25,000",10307," 4,220 ", 817 
"$25,000 under $50,000",10307," 20,550 "," 1,070 "
"$50,000 under $75,000",10307," 31,806 ", 864 
"$75,000 under $100,000",10307," 37,233 ", 700 
"$100,000 under $200,000",10307," 102,667 "," 1,161 "
"$200,000 or more",10307," 116,789 ", 323 
,,,
,10308," 573,182 "," 13,032 "
"Under $10,000",10308, 598 ," 1,926 "
"$10,000 under $25,000",10308," 9,413 "," 1,948 "
"$25,000 under $50,000",10308," 48,717 "," 2,411 "
"$50,000 under $75,000",10308," 82,503 "," 2,107 "
"$75,000 under $100,000",10308," 95,984 "," 1,705 "
"$100,000 under $200,000",10308," 236,025 "," 2,560 "
"$200,000 or more",10308," 99,943 ", 375 
,,,
,10309," 650,242 "," 13,982 "
"Under $10,000",10309, 872 ," 2,256 "
"$10,000 under $25,000",10309," 10,323 "," 2,026 "
"$25,000 under $50,000",10309," 50,003 "," 2,555 "
"$50,000 under $75,000",10309," 76,667 "," 2,073 "
"$75,000 under $100,000",10309," 89,262 "," 1,676 "
"$100,000 under $200,000",10309," 247,969 "," 2,780 "
"$200,000 or more",10309," 175,147 ", 616 
,,,
,10310," 365,735 "," 10,159 "
"Under $10,000",10310, 417 ," 1,849 "
"$10,000 under $25,000",10310," 8,402 "," 1,964 "
"$25,000 under $50,000",10310," 42,440 "," 2,235 "
"$50,000 under $75,000",10310," 56,520 "," 1,485 "
"$75,000 under $100,000",10310," 55,363 ", 975 
"$100,000 under $200,000",10310," 130,455 "," 1,407 "
"$200,000 or more",10310," 72,138 ", 244 
,,,
,10312," 1,323,763 "," 28,383 "
"Under $10,000",10312," 1,705 "," 4,489 "
"$10,000 under $25,000",10312," 19,899 "," 3,911 "
"$25,000 under $50,000",10312," 105,522 "," 5,262 "
"$50,000 under $75,000",10312," 172,581 "," 4,531 "
"$75,000 under $100,000",10312," 197,269 "," 3,601 "
"$100,000 under $200,000",10312," 498,799 "," 5,500 "
"$200,000 or more",10312," 327,990 "," 1,089 "
,,,
,10314," 1,566,209 "," 39,184 "
"Under $10,000",10314," 1,907 "," 6,384 "
"$10,000 under $25,000",10314," 30,693 "," 6,590 "
"$25,000 under $50,000",10314," 159,286 "," 8,108 "
"$50,000 under $75,000",10314," 235,861 "," 6,120 "
"$75,000 under $100,000",10314," 259,815 "," 4,577 "
"$100,000 under $200,000",10314," 585,739 "," 6,316 "
"$200,000 or more",10314," 292,908 "," 1,089 "
,,,
,10451," 285,179 "," 19,434 "
"Under $10,000",10451, 308 ," 4,367 "
"$10,000 under $25,000",10451," 23,614 "," 6,397 "
"$25,000 under $50,000",10451," 114,966 "," 5,880 "
"$50,000 under $75,000",10451," 73,842 "," 1,840 "
"$75,000 under $100,000",10451," 36,688 ", 605 
"$100,000 under $200,000",10451," 28,886 ", 318 
"$200,000 or more",10451," 6,876 ", 27 
,,,
,10452," 373,249 "," 33,517 "
"Under $10,000",10452, 628 ," 7,957 "
"$10,000 under $25,000",10452," 41,286 "," 12,403 "
"$25,000 under $50,000",10452," 196,826 "," 10,238 "
"$50,000 under $75,000",10452," 82,430 "," 2,149 "
"$75,000 under $100,000",10452," 31,932 ", 539 
"$100,000 under $200,000",10452," 20,147 ", 231 
"$200,000 or more",10452, . , * 
,,,
,10453," 354,702 "," 34,152 "
"Under $10,000",10453, 581 ," 8,635 "
"$10,000 under $25,000",10453," 40,234 "," 13,234 "
"$25,000 under $50,000",10453," 174,776 "," 9,313 "
"$50,000 under $75,000",10453," 80,718 "," 2,114 "
"$75,000 under $100,000",10453," 33,507 ", 577 
"$100,000 under $200,000",10453," 24,887 ", 279 
"$200,000 or more",10453, . , * 
,,,
,10454," 134,380 "," 13,139 "
"Under $10,000",10454, 214 ," 3,514 "
"$10,000 under $25,000",10454," 16,545 "," 5,011 "
"$25,000 under $50,000",10454," 64,060 "," 3,512 "
"$50,000 under $75,000",10454," 30,074 ", 787 
"$75,000 under $100,000",10454," 11,474 ", 199 
"$100,000 under $200,000",10454," 12,013 ", 116 
"$200,000 or more",10454, . , * 
,,,
,10455," 165,001 "," 14,914 "
"Under $10,000",10455, 236 ," 3,688 "
"$10,000 under $25,000",10455," 18,366 "," 5,444 "
"$25,000 under $50,000",10455," 84,122 "," 4,453 "
"$50,000 under $75,000",10455," 36,403 ", 946 
"$75,000 under $100,000",10455," 14,653 ", 255 
"$100,000 under $200,000",10455," 11,222 ", 128 
"$200,000 or more",10455, . , * 
,,,
,10456," 364,342 "," 34,793 "
"Under $10,000",10456, 648 ," 8,580 "
"$10,000 under $25,000",10456," 42,447 "," 13,294 "
"$25,000 under $50,000",10456," 185,471 "," 9,948 "
"$50,000 under $75,000",10456," 81,439 "," 2,160 "
"$75,000 under $100,000",10456," 32,572 ", 567 
"$100,000 under $200,000",10456," 21,765 ", 244 
"$200,000 or more",10456, . , * 
,,,
,10457," 315,140 "," 29,023 "
"Under $10,000",10457, 515 ," 7,214 "
"$10,000 under $25,000",10457," 34,333 "," 10,961 "
"$25,000 under $50,000",10457," 155,186 "," 8,232 "
"$50,000 under $75,000",10457," 69,868 "," 1,865 "
"$75,000 under $100,000",10457," 28,654 ", 499 
"$100,000 under $200,000",10457," 20,547 ", 236 
"$200,000 or more",10457," 6,037 ", 16 
,,,
,10458," 386,332 "," 29,920 "
"Under $10,000",10458, 631 ," 7,384 "
"$10,000 under $25,000",10458," 34,454 "," 10,392 "
"$25,000 under $50,000",10458," 164,368 "," 8,471 "
"$50,000 under $75,000",10458," 95,929 "," 2,425 "
"$75,000 under $100,000",10458," 50,036 ", 831 
"$100,000 under $200,000",10458," 36,571 ", 397 
"$200,000 or more",10458," 4,343 ", 20 
,,,
,10459," 208,431 "," 17,977 "
"Under $10,000",10459, 360 ," 4,267 "
"$10,000 under $25,000",10459," 22,308 "," 6,501 "
"$25,000 under $50,000",10459," 97,153 "," 5,308 "
"$50,000 under $75,000",10459," 49,072 "," 1,306 "
"$75,000 under $100,000",10459," 21,769 ", 389 
"$100,000 under $200,000",10459," 17,770 ", 206 
"$200,000 or more",10459, . , * 
,,,
,10460," 283,813 "," 23,466 "
"Under $10,000",10460, 436 ," 5,448 "
"$10,000 under $25,000",10460," 26,468 "," 8,550 "
"$25,000 under $50,000",10460," 134,922 "," 6,945 "
"$50,000 under $75,000",10460," 65,876 "," 1,703 "
"$75,000 under $100,000",10460," 32,798 ", 559 
"$100,000 under $200,000",10460," 23,314 ", 261 
"$200,000 or more",10460, . , * 
,,,
,10461," 631,103 "," 21,862 "
"Under $10,000",10461, 578 ," 3,424 "
"$10,000 under $25,000",10461," 20,274 "," 4,513 "
"$25,000 under $50,000",10461," 137,754 "," 6,364 "
"$50,000 under $75,000",10461," 149,640 "," 3,627 "
"$75,000 under $100,000",10461," 120,216 "," 1,994 "
"$100,000 under $200,000",10461," 163,657 "," 1,764 "
"$200,000 or more",10461," 38,984 ", 176 
,,,
,10462," 810,383 "," 35,620 "
"Under $10,000",10462, 700 ," 5,905 "
"$10,000 under $25,000",10462," 34,705 "," 8,420 "
"$25,000 under $50,000",10462," 248,425 "," 11,778 "
"$50,000 under $75,000",10462," 234,221 "," 5,773 "
"$75,000 under $100,000",10462," 136,517 "," 2,244 "
"$100,000 under $200,000",10462," 130,160 "," 1,419 "
"$200,000 or more",10462," 25,655 ", 81 
,,,
,10463," 1,203,961 "," 31,592 "
"Under $10,000",10463, 805 ," 5,282 "
"$10,000 under $25,000",10463," 28,905 "," 6,839 "
"$25,000 under $50,000",10463," 174,925 "," 8,146 "
"$50,000 under $75,000",10463," 194,682 "," 4,609 "
"$75,000 under $100,000",10463," 164,465 "," 2,614 "
"$100,000 under $200,000",10463," 320,567 "," 3,167 "
"$200,000 or more",10463," 319,613 ", 935 
,,,
,10464," 102,042 "," 2,131 "
"Under $10,000",10464, 89 , 318 
"$10,000 under $25,000",10464," 1,286 ", 286 
"$25,000 under $50,000",10464," 11,071 ", 479 
"$50,000 under $75,000",10464," 14,645 ", 355 
"$75,000 under $100,000",10464," 13,268 ", 221 
"$100,000 under $200,000",10464," 36,056 ", 369 
"$200,000 or more",10464," 25,626 ", 103 
,,,
,10465," 637,956 "," 18,686 "
"Under $10,000",10465, 534 ," 2,726 "
"$10,000 under $25,000",10465," 15,217 "," 3,415 "
"$25,000 under $50,000",10465," 102,156 "," 4,883 "
"$50,000 under $75,000",10465," 125,322 "," 3,129 "
"$75,000 under $100,000",10465," 115,805 "," 1,994 "
"$100,000 under $200,000",10465," 209,445 "," 2,285 "
"$200,000 or more",10465," 69,477 ", 254 
,,,
,10466," 542,339 "," 29,153 "
"Under $10,000",10466, 633 ," 5,572 "
"$10,000 under $25,000",10466," 31,469 "," 7,878 "
"$25,000 under $50,000",10466," 170,623 "," 9,073 "
"$50,000 under $75,000",10466," 137,584 "," 3,749 "
"$75,000 under $100,000",10466," 89,190 "," 1,624 "
"$100,000 under $200,000",10466," 101,359 "," 1,202 "
"$200,000 or more",10466," 11,481 ", 55 
,,,
,10467," 680,244 "," 39,540 "
"Under $10,000",10467, 741 ," 7,970 "
"$10,000 under $25,000",10467," 43,458 "," 11,469 "
"$25,000 under $50,000",10467," 254,913 "," 12,798 "
"$50,000 under $75,000",10467," 181,670 "," 4,607 "
"$75,000 under $100,000",10467," 97,685 "," 1,643 "
"$100,000 under $200,000",10467," 93,134 "," 1,009 "
"$200,000 or more",10467," 8,644 ", 44 
,,,
,10468," 504,709 "," 34,706 "
"Under $10,000",10468, 635 ," 7,591 "
"$10,000 under $25,000",10468," 37,113 "," 11,109 "
"$25,000 under $50,000",10468," 241,659 "," 11,702 "
"$50,000 under $75,000",10468," 110,814 "," 2,800 "
"$75,000 under $100,000",10468," 56,000 ", 932 
"$100,000 under $200,000",10468," 49,583 ", 537 
"$200,000 or more",10468," 8,904 ", 35 
,,,
,10469," 662,824 "," 28,964 "
"Under $10,000",10469, 694 ," 5,095 "
"$10,000 under $25,000",10469," 28,427 "," 7,023 "
"$25,000 under $50,000",10469," 164,762 "," 8,657 "
"$50,000 under $75,000",10469," 156,474 "," 4,187 "
"$75,000 under $100,000",10469," 109,773 "," 1,992 "
"$100,000 under $200,000",10469," 162,695 "," 1,848 "
"$200,000 or more",10469," 39,998 ", 162 
,,,
,10470," 198,268 "," 7,000 "
"Under $10,000",10470, 129 ," 1,130 "
"$10,000 under $25,000",10470," 6,672 "," 1,484 "
"$25,000 under $50,000",10470," 41,910 "," 1,986 "
"$50,000 under $75,000",10470," 49,610 "," 1,192 "
"$75,000 under $100,000",10470," 38,518 ", 622 
"$100,000 under $200,000",10470," 51,597 ", 543 
"$200,000 or more",10470," 9,832 ", 43 
,,,
,10471," 759,090 "," 9,876 "
"Under $10,000",10471, 458 ," 1,321 "
"$10,000 under $25,000",10471," 6,728 "," 1,336 "
"$25,000 under $50,000",10471," 41,573 "," 1,868 "
"$50,000 under $75,000",10471," 71,921 "," 1,675 "
"$75,000 under $100,000",10471," 73,578 "," 1,199 "
"$100,000 under $200,000",10471," 169,377 "," 1,703 "
"$200,000 or more",10471," 395,454 ", 774 
,,,
,10472," 347,809 "," 26,025 "
"Under $10,000",10472, 446 ," 6,179 "
"$10,000 under $25,000",10472," 29,905 "," 8,742 "
"$25,000 under $50,000",10472," 143,864 "," 7,614 "
"$50,000 under $75,000",10472," 88,482 "," 2,309 "
"$75,000 under $100,000",10472," 43,967 ", 741 
"$100,000 under $200,000",10472," 37,513 ", 424 
"$200,000 or more",10472," 3,633 ", 16 
,,,
,10473," 511,441 "," 26,122 "
"Under $10,000",10473, 530 ," 4,861 "
"$10,000 under $25,000",10473," 27,792 "," 7,172 "
"$25,000 under $50,000",10473," 161,729 "," 8,252 "
"$50,000 under $75,000",10473," 130,220 "," 3,379 "
"$75,000 under $100,000",10473," 84,139 "," 1,467 "
"$100,000 under $200,000",10473," 81,022 ", 935 
"$200,000 or more",10473," 26,009 ", 56 
,,,
,10474," 49,195 "," 4,369 "
"Under $10,000",10474, 49 ," 1,044 "
"$10,000 under $25,000",10474," 5,335 "," 1,599 "
"$25,000 under $50,000",10474," 25,140 "," 1,315 "
"$50,000 under $75,000",10474," 11,255 ", 299 
"$75,000 under $100,000",10474," 4,654 ", 81 
"$100,000 under $200,000",10474," 2,763 ", 31 
"$200,000 or more",10474, . , * 
,,,
,10475," 583,557 "," 21,124 "
"Under $10,000",10475, 432 ," 2,827 "
"$10,000 under $25,000",10475," 20,109 "," 3,911 "
"$25,000 under $50,000",10475," 158,117 "," 7,106 "
"$50,000 under $75,000",10475," 177,918 "," 4,285 "
"$75,000 under $100,000",10475," 117,545 "," 1,904 "
"$100,000 under $200,000",10475," 94,775 "," 1,040 "
"$200,000 or more",10475," 14,662 ", 51 
,,,
,10501," 56,230 ", 633 
"Under $10,000",10501, 56 , 124 
"$10,000 under $25,000",10501, 438 , 65 
"$25,000 under $50,000",10501," 1,537 ", 83 
"$50,000 under $75,000",10501," 2,219 ", 63 
"$75,000 under $100,000",10501," 2,988 ", 54 
"$100,000 under $200,000",10501," 12,724 ", 135 
"$200,000 or more",10501," 36,267 ", 109 
,,,
,10502," 262,423 "," 2,887 "
"Under $10,000",10502, 316 , 605 
"$10,000 under $25,000",10502," 1,584 ", 276 
"$25,000 under $50,000",10502," 6,669 ", 339 
"$50,000 under $75,000",10502," 9,214 ", 248 
"$75,000 under $100,000",10502," 13,320 ", 259 
"$100,000 under $200,000",10502," 58,464 ", 617 
"$200,000 or more",10502," 172,856 ", 543 
,,,
,10504," 1,650,726 "," 5,721 "
"Under $10,000",10504," 1,001 "," 1,225 "
"$10,000 under $25,000",10504," 3,345 ", 429 
"$25,000 under $50,000",10504," 9,541 ", 439 
"$50,000 under $75,000",10504," 14,995 ", 387 
"$75,000 under $100,000",10504," 16,747 ", 300 
"$100,000 under $200,000",10504," 98,100 ", 958 
"$200,000 or more",10504," 1,506,998 "," 1,983 "
,,,
,10505," 40,054 ", 563 
"Under $10,000",10505, 44 , 123 
"$10,000 under $25,000",10505, 406 , 69 
"$25,000 under $50,000",10505," 1,513 ", 79 
"$50,000 under $75,000",10505," 2,038 ", 62 
"$75,000 under $100,000",10505," 1,644 ", 32 
"$100,000 under $200,000",10505," 9,445 ", 101 
"$200,000 or more",10505," 24,963 ", 97 
,,,
,10506," 833,897 "," 2,934 "
"Under $10,000",10506, 565 , 700 
"$10,000 under $25,000",10506," 1,501 ", 242 
"$25,000 under $50,000",10506," 5,496 ", 285 
"$50,000 under $75,000",10506," 7,073 ", 200 
"$75,000 under $100,000",10506," 7,174 ", 142 
"$100,000 under $200,000",10506," 38,132 ", 431 
"$200,000 or more",10506," 773,955 ", 934 
,,,
,10507," 354,122 "," 2,596 "
"Under $10,000",10507, 174 , 471 
"$10,000 under $25,000",10507," 1,939 ", 415 
"$25,000 under $50,000",10507," 10,654 ", 507 
"$50,000 under $75,000",10507," 13,685 ", 352 
"$75,000 under $100,000",10507," 12,268 ", 202 
"$100,000 under $200,000",10507," 33,762 ", 363 
"$200,000 or more",10507," 281,640 ", 286 
,,,
,10509," 502,351 "," 9,489 "
"Under $10,000",10509, 633 ," 1,750 "
"$10,000 under $25,000",10509," 7,060 "," 1,305 "
"$25,000 under $50,000",10509," 33,784 "," 1,682 "
"$50,000 under $75,000",10509," 47,179 "," 1,245 "
"$75,000 under $100,000",10509," 55,827 ", 994 
"$100,000 under $200,000",10509," 181,744 "," 1,913 "
"$200,000 or more",10509," 176,125 ", 600 
,,,
,10510," 932,640 "," 5,216 "
"Under $10,000",10510, 727 ," 1,102 "
"$10,000 under $25,000",10510," 2,691 ", 427 
"$25,000 under $50,000",10510," 10,620 ", 531 
"$50,000 under $75,000",10510," 15,571 ", 438 
"$75,000 under $100,000",10510," 19,630 ", 380 
"$100,000 under $200,000",10510," 91,500 ", 969 
"$200,000 or more",10510," 791,900 "," 1,369 "
,,,
,10511," 52,301 "," 1,106 "
"Under $10,000",10511, 83 , 187 
"$10,000 under $25,000",10511, 797 , 170 
"$25,000 under $50,000",10511," 3,965 ", 194 
"$50,000 under $75,000",10511," 7,725 ", 192 
"$75,000 under $100,000",10511," 6,838 ", 115 
"$100,000 under $200,000",10511," 20,091 ", 203 
"$200,000 or more",10511," 12,800 ", 45 
,,,
,10512," 643,073 "," 12,149 "
"Under $10,000",10512, 681 ," 2,011 "
"$10,000 under $25,000",10512," 8,884 "," 1,619 "
"$25,000 under $50,000",10512," 44,494 "," 2,205 "
"$50,000 under $75,000",10512," 65,469 "," 1,743 "
"$75,000 under $100,000",10512," 77,080 "," 1,404 "
"$100,000 under $200,000",10512," 235,148 "," 2,544 "
"$200,000 or more",10512," 211,317 ", 623 
,,,
,10514," 1,930,784 "," 5,846 "
"Under $10,000",10514," 1,305 "," 1,513 "
"$10,000 under $25,000",10514," 2,495 ", 353 
"$25,000 under $50,000",10514," 7,424 ", 379 
"$50,000 under $75,000",10514," 11,509 ", 328 
"$75,000 under $100,000",10514," 12,658 ", 261 
"$100,000 under $200,000",10514," 76,063 ", 833 
"$200,000 or more",10514," 1,819,330 "," 2,179 "
,,,
,10516," 183,929 "," 2,580 "
"Under $10,000",10516, 92 , 426 
"$10,000 under $25,000",10516," 1,655 ", 322 
"$25,000 under $50,000",10516," 8,761 ", 428 
"$50,000 under $75,000",10516," 15,291 ", 381 
"$75,000 under $100,000",10516," 15,029 ", 263 
"$100,000 under $200,000",10516," 50,474 ", 520 
"$200,000 or more",10516," 92,627 ", 240 
,,,
,10517," 21,433 ", 454 
"Under $10,000",10517, 18 , 70 
"$10,000 under $25,000",10517, 274 , 49 
"$25,000 under $50,000",10517," 1,959 ", 95 
"$50,000 under $75,000",10517," 3,005 ", 75 
"$75,000 under $100,000",10517," 3,421 ", 60 
"$100,000 under $200,000",10517," 8,510 ", 87 
"$200,000 or more",10517," 4,246 ", 18 
,,,
,10518," 82,198 ", 742 
"Under $10,000",10518, 147 , 181 
"$10,000 under $25,000",10518, 358 , 62 
"$25,000 under $50,000",10518," 1,573 ", 79 
"$50,000 under $75,000",10518," 2,316 ", 63 
"$75,000 under $100,000",10518," 2,946 ", 52 
"$100,000 under $200,000",10518," 14,182 ", 150 
"$200,000 or more",10518," 60,675 ", 155 
,,,
,10519," 25,287 ", 346 
"Under $10,000",10519, -   , 55 
"$10,000 under $25,000",10519, 208 , 41 
"$25,000 under $50,000",10519," 1,532 ", 76 
"$50,000 under $75,000",10519," 2,378 ", 61 
"$75,000 under $100,000",10519," 1,971 ", 33 
"$100,000 under $200,000",10519," 5,323 ", 54 
"$200,000 or more",10519," 13,875 ", 26 
,,,
,10520," 542,607 "," 6,109 "
"Under $10,000",10520, 454 ," 1,007 "
"$10,000 under $25,000",10520," 3,713 ", 689 
"$25,000 under $50,000",10520," 20,128 ", 936 
"$50,000 under $75,000",10520," 31,990 ", 778 
"$75,000 under $100,000",10520," 32,692 ", 577 
"$100,000 under $200,000",10520," 121,452 "," 1,247 "
"$200,000 or more",10520," 332,178 ", 875 
,,,
,10522," 449,533 "," 5,121 "
"Under $10,000",10522, 411 , 845 
"$10,000 under $25,000",10522," 3,185 ", 558 
"$25,000 under $50,000",10522," 18,436 ", 875 
"$50,000 under $75,000",10522," 29,153 ", 713 
"$75,000 under $100,000",10522," 29,645 ", 506 
"$100,000 under $200,000",10522," 90,990 ", 950 
"$200,000 or more",10522," 277,715 ", 674 
,,,
,10523," 175,741 "," 4,022 "
"Under $10,000",10523, 158 , 613 
"$10,000 under $25,000",10523," 3,513 ", 739 
"$25,000 under $50,000",10523," 18,884 ", 968 
"$50,000 under $75,000",10523," 23,134 ", 606 
"$75,000 under $100,000",10523," 22,749 ", 394 
"$100,000 under $200,000",10523," 53,023 ", 559 
"$200,000 or more",10523," 54,279 ", 143 
